axis_level,replicate,method,variance_source_file,units,is_monte_carlo_backtransform_approximation,n_cells_averaged,variance_mean,note
5,rep0,kriging,kriging_var_map_physical_mc.npy,porosity %^2,True,2380,3.543380317691473,"variance_mean is taken over this (level, replicate) cell's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays."
5,rep0,sgs,sgs_var_map.npy,porosity %^2,False,2380,3.458395830821385,"variance_mean is taken over this (level, replicate) cell's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays."
5,rep0,rbf_bootstrap,bootstrap_var_map.npy,porosity %^2,False,2380,0.7332110264690535,"variance_mean is taken over this (level, replicate) cell's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays."
5,rep0,gp_mle,posterior_var_map.npy,porosity %^2,False,2380,2.954899047502828,"variance_mean is taken over this (level, replicate) cell's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays."
5,rep1,kriging,kriging_var_map_physical_mc.npy,porosity %^2,True,2379,3.6198647238072517,"variance_mean is taken over this (level, replicate) cell's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays."
5,rep1,sgs,sgs_var_map.npy,porosity %^2,False,2379,3.7188881531013362,"variance_mean is taken over this (level, replicate) cell's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays."
5,rep1,rbf_bootstrap,bootstrap_var_map.npy,porosity %^2,False,2379,0.7787551782440242,"variance_mean is taken over this (level, replicate) cell's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays."
5,rep1,gp_mle,posterior_var_map.npy,porosity %^2,False,2379,3.2267957692536213,"variance_mean is taken over this (level, replicate) cell's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays."
5,rep2,kriging,kriging_var_map_physical_mc.npy,porosity %^2,True,2376,3.645694803365585,"variance_mean is taken over this (level, replicate) cell's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays."
5,rep2,sgs,sgs_var_map.npy,porosity %^2,False,2376,3.7304497128681318,"variance_mean is taken over this (level, replicate) cell's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays."
