axis_level,method,variance_source_file,units,is_monte_carlo_backtransform_approximation,n_cells_summed,variance_sum,variance_mean,note
5,kriging,kriging_var_map_physical_mc.npy,porosity %^2,True,2379,7251.603089640551,3.048172799344494,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
5,sgs,sgs_var_map.npy,porosity %^2,False,2379,6993.84443826194,2.9398253208330978,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
5,rbf_bootstrap,bootstrap_var_map.npy,porosity %^2,False,2379,836.550263152837,0.35163945487719084,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
5,gp_mle,posterior_var_map.npy,porosity %^2,False,2379,6747.7298924421175,2.8363723801774348,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
2,kriging,kriging_var_map_physical_mc.npy,porosity %^2,True,2450,14017.765548000149,5.721536958367407,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
2,sgs,sgs_var_map.npy,porosity %^2,False,2450,13775.530368499763,5.622665456530516,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
2,rbf_bootstrap,bootstrap_var_map.npy,porosity %^2,False,2450,2124.503098446196,0.8671441218147738,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
2,gp_mle,posterior_var_map.npy,porosity %^2,False,2450,10510.264452801539,4.289903858286342,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
1,kriging,kriging_var_map_physical_mc.npy,porosity %^2,True,2475,16886.867170687372,6.822976634621161,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
1,sgs,sgs_var_map.npy,porosity %^2,False,2475,15349.816433505881,6.20194603373975,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
1,rbf_bootstrap,bootstrap_var_map.npy,porosity %^2,False,2475,3304.998092702617,1.33535276472833,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
1,gp_mle,posterior_var_map.npy,porosity %^2,False,2475,17670.03464157767,7.1394079359909774,"variance_sum/variance_mean are taken over this level's evaluated cells (its conditioning cells excluded). All four arrays are porosity %^2, but kriging's physical-unit variance is a Monte Carlo back-transform of its normal-score variance, whereas sgs/rbf_bootstrap/gp_mle variances are native physical-unit arrays. n_cells_summed differs between levels, so variance_sum is not a sum over an equal number of cells across levels; variance_mean is reported for that reason."
